page_url;pageId_url;pageId;page_size;attachments_count
https://cwiki.apache.org/confluence/display/Hive/Development+ContributorsMeetings+HiveContributorsMinutes101025;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362080;27362080;52994;0
https://cwiki.apache.org/confluence/display/Hive/Development+ContributorsMeetings+HiveContributorsMinutes110425;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362081;27362081;52911;0
https://cwiki.apache.org/confluence/display/Hive/DownloadTest;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362094;27362094;48783;0
https://cwiki.apache.org/confluence/display/Hive/User+FAQ;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362095;27362095;63463;0
https://cwiki.apache.org/confluence/display/Hive/FilterPushdownDev;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362092;27362092;64755;0
https://cwiki.apache.org/confluence/display/Hive/GenericUDAFCaseStudy;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362093;27362093;81023;0
https://cwiki.apache.org/confluence/display/Hive/GettingStarted;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362090;27362090;154630;0
https://cwiki.apache.org/confluence/display/Hive/GettingStarted+EclipseSetup;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362091;27362091;103426;0
https://cwiki.apache.org/confluence/display/Hive/HBaseBulkLoad;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362088;27362088;120650;0
https://cwiki.apache.org/confluence/display/Hive/HBaseIntegration;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362089;27362089;149801;0
https://cwiki.apache.org/confluence/display/Hive/HiveAws;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362103;27362103;112582;0
https://cwiki.apache.org/confluence/display/Hive/HiveAws+HivingS3nRemotely;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362102;27362102;120229;0
https://cwiki.apache.org/confluence/display/Hive/HiveClient;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362101;27362101;61959;0
https://cwiki.apache.org/confluence/display/Hive/HiveContributorsMinutes100601;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362064;27362064;51019;0
https://cwiki.apache.org/confluence/display/Hive/HiveContributorsMinutes100706;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362065;27362065;51360;0
https://cwiki.apache.org/confluence/display/Hive/HiveDerbyServerMode;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362068;27362068;59765;0
https://cwiki.apache.org/confluence/display/Hive/HiveJDBCInterface;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362100;27362100;56123;0
https://cwiki.apache.org/confluence/display/Hive/HiveODBC;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362099;27362099;88295;0
https://cwiki.apache.org/confluence/display/Hive/HivePlugins;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362098;27362098;55372;0
https://cwiki.apache.org/confluence/display/Hive/ReflectUDF;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=30754716;30754716;53565;0
https://cwiki.apache.org/confluence/display/Hive/HiveQL;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362097;27362097;48818;0
https://cwiki.apache.org/confluence/display/Hive/HiveServer;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362111;27362111;113279;0
https://cwiki.apache.org/confluence/display/Hive/HiveWebInterface;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362110;27362110;115743;0
https://cwiki.apache.org/confluence/display/Hive/Home;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362069;27362069;134537;0
https://cwiki.apache.org/confluence/display/Hive/AboutThisWiki;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27820116;27820116;62628;0
https://cwiki.apache.org/confluence/display/Hive/AccumuloIntegration;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=46633569;46633569;71468;0
https://cwiki.apache.org/confluence/display/Hive/AdminManual+Metastore+3.0+Administration;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=75978150;75978150;74116;0
https://cwiki.apache.org/confluence/display/Hive/Apache+Hive+SQL+Conformance;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=67641449;67641449;52229;0
https://cwiki.apache.org/confluence/display/Hive/Supported+Features%3A+Apache+Hive+2.1;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=67641451;67641451;77570;0
https://cwiki.apache.org/confluence/display/Hive/Supported+Features%3A+Apache+Hive+2.3;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=73632935;73632935;80811;0
https://cwiki.apache.org/confluence/display/Hive/Supported+Features%3A++Apache+Hive+3.1;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=97551656;97551656;115782;0
https://cwiki.apache.org/confluence/display/Hive/AvroSerDe;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27850707;27850707;81253;0
https://cwiki.apache.org/confluence/display/Hive/Books+about+Hive;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=61322063;61322063;53154;0
https://cwiki.apache.org/confluence/display/Hive/Bylaws;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27820111;27820111;70753;0
https://cwiki.apache.org/confluence/display/Hive/Proposed+Changes+to+Hive+Bylaws+for+Submodule+Committers;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=30749392;30749392;71954;0
https://cwiki.apache.org/confluence/display/Hive/Proposed+Changes+to+Hive+Bylaws+-+January+2014;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=38568856;38568856;75181;0
https://cwiki.apache.org/confluence/display/Hive/CSV+Serde;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=48202659;48202659;54041;0
https://cwiki.apache.org/confluence/display/Hive/Dependent+Tables;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=30151205;30151205;58853;0
https://cwiki.apache.org/confluence/display/Hive/DeveloperDocs;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=42568263;42568263;50596;0
https://cwiki.apache.org/confluence/display/Hive/Druid+Integration;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=65866491;65866491;101787;0
https://cwiki.apache.org/confluence/pages/viewpage.action?pageId=158869886;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=158869886;158869886;76845;2
https://cwiki.apache.org/confluence/display/Hive/Fix+Hive+Unit+Tests+on+Hadoop+2+-+HIVE-3949;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=31824506;31824506;62612;0
https://cwiki.apache.org/confluence/display/Hive/Hadoop-compatible+Input-Output+Format+for+Hive;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=30745805;30745805;52903;0
https://cwiki.apache.org/confluence/display/Hive/Hive+0.13+release+status;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=39622095;39622095;74232;0
https://cwiki.apache.org/confluence/display/Hive/Hive+0.13.1+Release+tracking;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=40510656;40510656;63180;0
https://cwiki.apache.org/confluence/display/Hive/Hive+0.14+release+status;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=46632949;46632949;51050;0
https://cwiki.apache.org/confluence/display/Hive/Hive+1.2+Release+Status;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=55156189;55156189;69807;0
https://cwiki.apache.org/confluence/display/Hive/Committed+jiras+for+1.2.1;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=58851880;58851880;137445;0
https://cwiki.apache.org/confluence/display/Hive/Committed+JIRAS+for+branch-1.2.0;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=56068523;56068523;144648;0
https://cwiki.apache.org/confluence/display/Hive/HiveAmazonElasticMapReduce;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27825646;27825646;60409;0
https://cwiki.apache.org/confluence/display/Hive/Hive+APIs+Overview;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=61326349;61326349;62005;0
https://cwiki.apache.org/confluence/display/Hive/HiveAwsEmr;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27823791;27823791;60058;0
https://cwiki.apache.org/confluence/display/Hive/HiveCounters;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=67636835;67636835;50551;0
https://cwiki.apache.org/confluence/display/Hive/HiveDeveloperFAQ;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27823747;27823747;93140;0
https://cwiki.apache.org/confluence/display/Hive/Hive+Metadata+Caching+Proposal;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=69407514;69407514;78592;0
https://cwiki.apache.org/confluence/display/Hive/Hive+on+Spark%3A+Getting+Started;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=44302539;44302539;84074;1
https://cwiki.apache.org/confluence/display/Hive/Hive+PreCommit+Patch+Testing;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=33295252;33295252;53886;0
https://cwiki.apache.org/confluence/display/Hive/Jenkins+Script;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=33295285;33295285;53225;0
https://cwiki.apache.org/confluence/display/Hive/MiniDriver+Tests;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=38571221;38571221;51829;0
https://cwiki.apache.org/confluence/display/Hive/Hive+PTest2+Infrastructure;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=33295254;33295254;55508;0
https://cwiki.apache.org/confluence/display/Hive/HiveServer2+Clients;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=30758725;30758725;222478;0
https://cwiki.apache.org/confluence/display/Hive/Replacing+the+Implementation+of+Hive+CLI+Using+Beeline;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=61311909;61311909;67791;0
https://cwiki.apache.org/confluence/display/Hive/HiveServer2+Overview;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=65147648;65147648;63152;0
https://cwiki.apache.org/confluence/display/Hive/Hive+Metrics;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=65872987;65872987;141848;1
https://cwiki.apache.org/confluence/display/Hive/Hive+Transactions;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=40509723;40509723;107323;0
https://cwiki.apache.org/confluence/display/Hive/HCatalog+Streaming+Mutation+API;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=61337025;61337025;76580;1
https://cwiki.apache.org/confluence/display/Hive/How-to+articles;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=65877302;65877302;49791;0
https://cwiki.apache.org/confluence/display/Hive/How+to+edit+the+website;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=33294834;33294834;55891;0
https://cwiki.apache.org/confluence/display/Hive/JDBC+Storage+Handler;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=95651916;95651916;69393;0
https://cwiki.apache.org/confluence/display/Hive/Kudu+Integration;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=133631955;133631955;58146;0
https://cwiki.apache.org/confluence/display/Hive/Materialized+views;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=80447331;80447331;79362;0
https://cwiki.apache.org/confluence/display/Hive/Metastore+TLP+Proposal;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=71013238;71013238;57748;0
https://cwiki.apache.org/confluence/display/Hive/OperatorsAndFunctions;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=30754909;30754909;49616;0
https://cwiki.apache.org/confluence/display/Hive/Permission+Inheritance+in+Hive;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=48203008;48203008;54821;0
https://cwiki.apache.org/confluence/display/Hive/PluginDeveloperKit;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27820324;27820324;58446;0
https://cwiki.apache.org/confluence/display/Hive/Proposed+Changes+to+Hive+Project+Bylaws+-+April+2016;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=62691925;62691925;71122;0
https://cwiki.apache.org/confluence/display/Hive/Proposed+Changes+to+Hive+Project+Bylaws+-+August+2015;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=61316066;61316066;72187;0
https://cwiki.apache.org/confluence/display/Hive/Query+ReExecution;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=87298873;87298873;56116;0
https://cwiki.apache.org/confluence/display/Hive/RCFileCat;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=30748712;30748712;51665;0
https://cwiki.apache.org/confluence/display/Hive/RelatedProjects;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=34836686;34836686;50364;0
https://cwiki.apache.org/confluence/display/Hive/Replication;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=61336919;61336919;59109;0
https://cwiki.apache.org/confluence/display/Hive/Streaming+Data+Ingest;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=40509746;40509746;79172;0
https://cwiki.apache.org/confluence/display/Hive/Streaming+Data+Ingest+V2;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=85477610;85477610;75582;0
https://cwiki.apache.org/confluence/display/Hive/Suggestion+for+DDL+Commands+in+HMS+schema+upgrade+scripts;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=138022168;138022168;51494;0
https://cwiki.apache.org/confluence/display/Hive/Synchronized+Metastore+Cache;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=110692851;110692851;75418;3
https://cwiki.apache.org/confluence/display/Hive/TeradataBinarySerde;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=89068127;89068127;77547;0
https://cwiki.apache.org/confluence/display/Hive/TestingDocs;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=42567126;42567126;50954;0
https://cwiki.apache.org/confluence/display/Hive/MetaStore+API+Tests;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=75958143;75958143;52397;0
https://cwiki.apache.org/confluence/display/Hive/Running+Yetus;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=71012969;71012969;52632;0
https://cwiki.apache.org/confluence/display/Hive/Unit+Testing+Hive+SQL;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=61328063;61328063;68355;0
https://cwiki.apache.org/confluence/display/Hive/Using+TiDB+as+the+Hive+Metastore+database;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=158872426;158872426;117505;0
https://cwiki.apache.org/confluence/display/Hive/Howl;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362109;27362109;49534;0
https://cwiki.apache.org/confluence/display/Hive/HowToCommit;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362108;27362108;60786;0
https://cwiki.apache.org/confluence/display/Hive/BecomingACommitter;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27823300;27823300;55483;1
https://cwiki.apache.org/confluence/display/Hive/HowToContribute;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362107;27362107;94479;0
https://cwiki.apache.org/confluence/display/Hive/HBaseMetastoreDevelopmentGuide;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=55151960;55151960;56150;0
https://cwiki.apache.org/confluence/display/Hive/Hbase+execution+plans+for+RawStore+partition+filter+condition;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=55151993;55151993;66998;0
https://cwiki.apache.org/confluence/display/Hive/PhabricatorCodeReview;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27829778;27829778;61510;0
https://cwiki.apache.org/confluence/display/Hive/Review+Board;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=38571258;38571258;103807;0
https://cwiki.apache.org/confluence/display/Hive/Unit+Test+Parallel+Execution;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27833687;27833687;116520;0
https://cwiki.apache.org/confluence/display/Hive/HowToRelease;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362106;27362106;86960;0
https://cwiki.apache.org/confluence/display/Hive/Storage+API+Release+Proposal;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=67635447;67635447;51333;0
https://cwiki.apache.org/confluence/display/Hive/IndexDev+Bitmap;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362028;27362028;54254;0
https://cwiki.apache.org/confluence/display/Hive/MapJoinOptimization;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362029;27362029;63260;0
https://cwiki.apache.org/confluence/display/Hive/LanguageManual;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362030;27362030;60078;0
https://cwiki.apache.org/confluence/display/Hive/LanguageManual+Cli;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362033;27362033;75142;0
https://cwiki.apache.org/confluence/display/Hive/LanguageManual+DDL;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362034;27362034;336986;0
https://cwiki.apache.org/confluence/display/Hive/LanguageManual+DDL+BucketedTables;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362035;27362035;106928;0
https://cwiki.apache.org/confluence/display/Hive/Managed+vs.+External+Tables;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=95654003;95654003;54284;0
https://cwiki.apache.org/confluence/display/Hive/Scheduled+Queries;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=145724128;145724128;137150;0
